a,b,mean_a,mean_b,median_a,median_b,t_stat,t_p_raw,t_p_fdr,u_stat,u_p_raw,u_p_fdr
ppo_semantic_loss,ppo_action_mask,291.04,299.18,292.6,279.0,-0.34137850236090755,0.7369665190703005,0.8761364906064262,48.0,0.9097218891455553,0.9924238790678784
ppo_semantic_loss,ppo_preshield_soft,291.04,255.42,292.6,242.5,1.3884272030832443,0.18200476873815252,0.38542186321020533,67.0,0.21229383619233166,0.42458767238466333
ppo_semantic_loss,ppo_preshield_hard,291.04,292.36,292.6,305.4,-0.05037944178793062,0.9603749578239175,0.9603749578239175,51.0,0.9698499769931556,0.9975599763358171
ppo_semantic_loss,ppo_layer_soft,291.04,249.93999999999997,292.6,232.2,1.5611909633140582,0.1358883685931228,0.34942723352517296,71.0,0.12122450301291661,0.31172015060464275
ppo_semantic_loss,ppo_layer_hard,291.04,306.17999999999995,292.6,311.1,-0.56102881119819,0.5817094360583631,0.7756125814111507,39.5,0.44952132576702597,0.6742819886505389
ppo_semantic_loss,cppo,291.04,239.04000000000002,292.6,246.7,2.313331248186139,0.03454739790832436,0.22220292936258948,76.0,0.05390255716938719,0.2772131511568484
ppo_action_mask,ppo_preshield_soft,299.18,255.42,279.0,242.5,1.8984901575540958,0.07424709388772062,0.24299048908708568,79.0,0.031209012771740218,0.2709274177456741
ppo_action_mask,ppo_preshield_hard,299.18,292.36,279.0,305.4,0.2882945733822488,0.7765597146591918,0.8761364906064262,50.0,1.0,1.0
ppo_action_mask,ppo_layer_soft,299.18,249.93999999999997,279.0,232.2,2.0693760504810017,0.053905849983786024,0.22220292936258948,77.0,0.04515456962427901,0.2709274177456741
ppo_action_mask,ppo_layer_hard,299.18,306.17999999999995,279.0,311.1,-0.285447174330412,0.7787879916501566,0.8761364906064262,48.0,0.9097218891455553,0.9924238790678784
ppo_action_mask,cppo,299.18,239.04000000000002,279.0,246.7,3.091627931350306,0.006448810331971784,0.19637053000845983,86.0,0.0072845570094796615,0.2622440523412678
ppo_preshield_soft,ppo_preshield_hard,255.42,292.36,242.5,305.4,-1.4497555394496566,0.1643597955331188,0.3698095399495173,31.5,0.17345557371239162,0.39362131559832564
ppo_preshield_soft,ppo_layer_soft,255.42,249.93999999999997,242.5,232.2,0.2139908943409454,0.8329662461506238,0.9086904503461349,56.5,0.6500246299061012,0.8666995065414682
ppo_preshield_soft,ppo_layer_hard,255.42,306.17999999999995,242.5,311.1,-1.9310167437317522,0.06955046924756972,0.24299048908708568,26.0,0.07566157214388701,0.30264628857554804
ppo_preshield_soft,cppo,255.42,239.04000000000002,242.5,246.7,0.75715264542005,0.4597877138646485,0.7196677260490151,52.0,0.9097218891455553,0.9924238790678784
ppo_preshield_hard,ppo_layer_soft,292.36,249.93999999999997,305.4,232.2,1.6218218690795225,0.12222770602133991,0.34942723352517296,71.0,0.12094463242998696,0.31172015060464275
ppo_preshield_hard,ppo_layer_hard,292.36,306.17999999999995,305.4,311.1,-0.5152862873062285,0.612644388547907,0.7865404404259652,44.0,0.6775849579524755,0.8711806602246115
ppo_preshield_hard,cppo,292.36,239.04000000000002,305.4,246.7,2.3933140254602727,0.029407038058219908,0.22220292936258948,80.0,0.025748080821108073,0.2709274177456741
ppo_layer_soft,ppo_layer_hard,249.93999999999997,306.17999999999995,232.2,311.1,-2.0874420402178018,0.051371534350276,0.22220292936258948,23.0,0.04515456962427901,0.2709274177456741
ppo_layer_soft,cppo,249.93999999999997,239.04000000000002,232.2,246.7,0.4860542872337754,0.6336020214542497,0.7865404404259652,49.0,0.9698499769931556,0.9975599763358171
ppo_layer_hard,cppo,306.17999999999995,239.04000000000002,311.1,246.7,2.8943622812395557,0.01090947388935888,0.19637053000845983,79.0,0.031209012771740218,0.2709274177456741
